Title,Summary,Link
"Study of Efficacy and Safety in Premenopausal Women With Hormone Receptor Positive, HER2-negative Advanced Breast Cancer","The purpose of this study was to determine whether treatment with tamoxifen or a non-steroidal aromatase inhibitors (NSAI) + goserelin + LEE011 prolonged progression-free survival (PFS) compared to treatment with tamoxifen or a NSAI + goserelin + placebo in premenopausal women with hormone receptor positive (HR+), human epidermal growth factor receptor 2 negative (HER2-) advanced breast cancer.",https://clinicaltrials.gov/study/NCT02278120
PALbociclib CoLlaborative Adjuvant Study,"This is a prospective, two arm, international, multicenter, randomized, open-label Phase III study evaluating the addition of 2 years of palbociclib to standard adjuvant endocrine therapy for patients with HR+ / HER2- early breast cancer (EBC).

The purpose of the PALLAS study is to determine whether the addition of palbociclib to adjuvant endocrine therapy will improve outcomes over endocrine therapy alone for HR+/HER2- early breast cancer. Assessment of a variety of correlative analysis, including evaluation of the effect of palbociclib in genomically defined tumor subgroups, is planned.",https://clinicaltrials.gov/study/NCT02513394
Changes in Myocardial Iron After Iron Administration,"Recent studies have shown that treatment with intravenous iron in patients with iron deficiency (ID) and heart failure with reduced ejection fraction (HFrEF) improves symptomatology, functional capacity, quality of life, and decreases hospitalizations regardless of anemia. In addition, a decrease in myocardial iron content has been observed in patients with chronic HFrEF. This preliminary evidence has led to postulate that myocardial iron deficiency could play a direct role in the pathogenesis and progression of the disease.

The investigators hypothesize that the repletion of myocardial iron would explain part of the benefit of this treatment. Thus, the investigators postulate that cardiac magnetic resonance (CMR) (T2\* and T1-mapping sequences) will be sensible enough to detect changes in myocardial iron content as a result of intravenous iron administration, and that such changes will correlate with simultaneous changes in parameters of heart failure severity.

In this double-blind 1:1 randomized study controlled by placebo the investigators aim to determine the changes in myocardial iron content after treatment with intravenous ferric carboxymaltose (FCM) by CMR at 7 and 30 days in patients with stable HFrEF and ID.",https://clinicaltrials.gov/study/NCT03398681
"A Study Evaluating the Efficacy and Safety of Adjuvant Giredestrant Compared With Physician's Choice of Adjuvant Endocrine Monotherapy in Participants With Estrogen Receptor-Positive, HER2-Negative Early Breast Cancer (lidERA Breast Cancer)","This is a Phase III, global, randomized, open-label, multicenter, study evaluating the efficacy and safety of adjuvant giredestrant compared with endocrine therapy of physician's choice in participants with medium- and high-risk Stage I-III histologically confirmed estrogen receptor (ER)-positive and human epidermal growth factor receptor 2 (HER2)-negative early breast cancer.

In addition, an open-label exploratory substudy will explore the safety and efficacy of giredestrant in combination with abemaciclib in a subset of the primary study population.",https://clinicaltrials.gov/study/NCT04961996
Efficacy and Safety of Finerenone in Subjects With Type 2 Diabetes Mellitus and the Clinical Diagnosis of Diabetic Kidney Disease,"The purpose of this study was to evaluate whether oral finerenone (study drug), in addition to standard daily therapy, is effective and safe in treating patients with type 2 diabetes mellitus and diabetic kidney disease, when compared to a placebo.",https://clinicaltrials.gov/study/NCT02545049
A Study of Abemaciclib (LY2835219) Combined With Fulvestrant in Women With Hormone Receptor Positive HER2 Negative Breast Cancer,"The main purpose of this study is to compare progression-free survival for women with hormone receptor positive (HR+), human epidermal growth factor receptor (HER2) negative advanced breast cancer receiving either abemaciclib + fulvestrant or fulvestrant alone. Participants will be randomized to abemaciclib or placebo in a 2:1 ratio. The study will last about 9 months for each participant.

For the endocrine naïve cohort, all participants will received abemaciclib + fulvestrant.",https://clinicaltrials.gov/study/NCT02107703
Phase 2 Study Evaluating Rapcabtagene Autoleucel in Participants With Severe Active GPA or MPA,The purpose of this study is to evaluate the efficacy and safety of rapcabtagene autoleucel versus comparator in participants with severe active Granulomatosis with Polyangiitis (GPA) or Microscopic Polyangiitis (MPA),https://clinicaltrials.gov/study/NCT06868290
Renal Artery DenervatIon Using Radial accesS in Uncontrolled HyperTensioN,"Non-inferiority, prospective, multi-center, international, post-market, randomized (1:1) clinical trial in patients with uncontrolled hypertension to compare the safety and efficacy of radio frequency renal denervation using Iberis Renal Denervation System via radial access compared with femoral access.",https://clinicaltrials.gov/study/NCT05234788
Assessment of Oncological and Functional Outcomes After Robot Assisted Partial Nephrectomy Versus Laparoscopic Partial Nephrectomy,"Currently, partial nephrectomy (PN) is considered as the gold standard treatment modality for small renal masses. In this setting, robot-assisted and conventional laparoscopic approaches are gaining more consensus every day. However, until now, no superiority of one technique over the other has yet been demonstrated, especially on postoperative function recovery.

This study compares oncological and functional outcomes after laparoscopic partial nephrectomy versus robot assisted partial nephrectomy.",https://clinicaltrials.gov/study/NCT02924922
"Study of Safety, Efficacy and Tolerability of Secukinumab Versus Placebo, in Combination With SoC Therapy, in Patients With Active Lupus Nephritis","This was a pivotal, randomized, double-blind, placebo-controlled trial evaluating at Week 52 the efficacy and safety of secukinumab versus placebo in patients with active lupus nephritis (ISN/RPS Class III or IV, with or without co-existing class V features) also receiving background standard of care therapy (SoC).",https://clinicaltrials.gov/study/NCT04181762
Study of Cisplatin/Vinorelbine +/- Cetuximab as First-line Treatment of Advanced Non Small Cell Lung Cancer (FLEX),The purpose of this trial is to investigate the efficacy of cetuximab in combination with chemotherapy in comparison to chemotherapy alone in patients with advanced non small cell lung cancer who did not received prior chemotherapy. Overall survival will be taken as primary measure of efficacy.,https://clinicaltrials.gov/study/NCT00148798
Maridebart Cafraglutide in Heart Failure With Preserved or Mildly Reduced Ejection Fraction and Obesity,"This study will examine if maridebart cafraglutide as an adjunct to standard of care will lead to a reduction in heart failure (HF) events such as HF hospitalizations and urgent HF visits, cardiovascular (CV) deaths and improvement in HF symptoms in participants with HF with preserved ejection fraction (HFpEF) and HF with mildly reduced ejection fraction (HFmrEF) who are obese. This is a phase 3, global, multicenter, 2-part study with a double-blind period and an open-label extension (OLE). The study is event-driven, and Part 1 will conclude when approximately 850 primary endpoint events have occurred.",https://clinicaltrials.gov/study/NCT07037459
Study of the Effectiveness and Clinical Practice Use of Glecaprevir Plus Pibrentasvir in Patients With Chronic Hepatitis C Genotypes 1 to 6,"The interferon- and ribavirin- (RBV) free combination regimen of glecaprevir plus pibrentasvir (GLE/PIB) for the treatment of genotypes 1 to 6 of chronic hepatitis C (CHC) viral infection has been shown to be safe and effective in randomized controlled clinical trials.

This observational study is an effectiveness research examining the regimen of GLE/PIB, used according to local label, under real world conditions in a clinical practice patient population.",https://clinicaltrials.gov/study/NCT03303599
CAROLINA: Cardiovascular Outcome Study of Linagliptin Versus Glimepiride in Patients With Type 2 Diabetes,"The aim of the study is to investigate the longterm impact on cardiovascular morbidity and mortality, relevant efficacy parameters (e.g., glycaemic parameters) and safety (e.g., weight and hypoglycaemia) of treatment with linagliptin in patients with type 2 diabetes at elevated cardiovascular risk receiving usual care, and compare outcome against glimepiride.",https://clinicaltrials.gov/study/NCT01243424
Phase III Open Label First Line Therapy Study of MEDI 4736 (Durvalumab) With or Without Tremelimumab Versus SOC in Non Small-Cell Lung Cancer (NSCLC),"This is a randomized, open-label, multi-center, global, Phase III study to determine the efficacy and safety of MEDI4736 + tremelimumab combination therapy and MEDI4736 monotherapy versus platinum-based SoC chemotherapy in the first-line treatment of patients with epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK) wild-type locally advanced or metastatic NSCLC",https://clinicaltrials.gov/study/NCT02453282
Impact of the SGLT2 Inhibitor Empagliflozin on Urinary Supersaturations in Kidney Stone Formers,"The aim of this study is to test the effect of a new drug on the composition of the urine in kidney stone patients. This new drug (Jardiance®, substance: empagliflozin) is currently approved in Switzerland for the treatment of patients with diabetes. Data from previous studies with and without diabetes suggest that it may have a beneficial effect on the composition of the urine and thereby reduce the risk of developing kidney stones.",https://clinicaltrials.gov/study/NCT04911660
TAF for HIV-HBV With Renal Dysfunction,"The investigators aim at describing changes in renal glomerular and tubular function with after the switch from TDF to TAF in HIV/HBV-coinfected patients with mild to moderate renal dysfunction and to assess the virological efficacy of TAF on HBV infection.

The study will include HIV/HBV-coinfected participants of the Swiss HIV Cohort Study (SHCS) who are under active care and have been on a stable, TDF-containing ART regimen for at least 6 months. Only patients with an estimated glomerular filtration rate (GFR) between 30 ml/min and 90 ml/min will be included. All individuals who agree to participate will be switched from a TDF-containing ART regimen to a TAF-containing triple ART regimen at week 0 and will be followed for 48 weeks after the treatment change.",https://clinicaltrials.gov/study/NCT03115736
Capecitabine and Oxaliplatin With or Without Cetuximab in Treating Patients With Metastatic Colorectal Cancer That Cannot Be Removed By Surgery,"RATIONALE: Drugs used in chemotherapy, such as capecitabine and oxaliplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving more than one drug (combination chemotherapy) may kill more tumor cells. Monoclonal antibodies, such as cetuximab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Cetuximab may also stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether giving capecitabine and oxaliplatin together with cetuximab is more effective than capecitabine and oxaliplatin in treating colorectal cancer.

PURPOSE: This randomized phase II trial is studying how well giving capecitabine and oxaliplatin together with cetuximab works compared to capecitabine and oxaliplatin in treating patients with metastatic colorectal cancer that cannot be removed by surgery.",https://clinicaltrials.gov/study/NCT00227734
"Study of Efficacy, Safety, Tolerability, Pharmacokinetic (PK) and Pharmacodynamic (PD) of an Anti-CD40 Monoclonal Antibody, CFZ533, in Kidney Transplant Recipients","The purpose of this study is to investigate the safety, efficacy, pharmacokinetics (PK) and pharmacodynamics (PD) of three CFZ533 dose regimens in kidney transplant recipients.

This study will allow assessment of the ability of CFZ533 to replace Calcineurin inhibitors (CNIs) in terms of anti-rejection efficacy, while providing better renal function with a better safety and tolerability profile. Results of this study will be used to inform the CFZ533 dose and regimen selection for investigation in later phases of clinical development.",https://clinicaltrials.gov/study/NCT03663335
A Safety and Tolerability Study of Assisted and Self-Administered Subcutaneous (SC) Herceptin (Trastuzumab) as Adjuvant Therapy in Early Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Breast Cancer,"This multicenter, two-cohort, non-randomized, open-label study will evaluate the safety and tolerability of assisted and self-administered SC Herceptin as adjuvant therapy in participants with early HER2-positive breast cancer following tumor excision. Participants will receive Herceptin 600 milligrams (mg) SC every 3 weeks for 18 cycles, either by an assisted administration using a conventional syringe and needle/vial formulation (Cohort A) or with assisted and self-administration using a single-use injection device (SID) in selected participants (Cohort B).",https://clinicaltrials.gov/study/NCT01566721
A Study of Trastuzumab Emtansine (T-DM1) Plus Pertuzumab/Pertuzumab Placebo Versus Trastuzumab [Herceptin] Plus a Taxane in Participants With Metastatic Breast Cancer (MARIANNE),"This randomized, 3-arm, multicenter, phase III study will evaluate the efficacy and safety of trastuzumab emtansine (T-DM1) with pertuzumab or trastuzumab emtansine (T-DM1) with pertuzumab-placebo (blinded for pertuzumab), versus the combination of trastuzumab (Herceptin) plus taxane (docetaxel or paclitaxel) in participants with HER2-positive progressive or recurrent locally advanced or previously untreated metastatic breast cancer. Participants will be randomized to 1 of 3 treatment arms (Arms A, B or C). Arm A will be open-label, whereas Arms B and C will be blinded.",https://clinicaltrials.gov/study/NCT01120184
International Alfapump Cohort Study,"This Registry is designed to follow patients who have been implanted with an alfapump system, which is a newly marketed product from Sequana Medical AG, a Swiss Medical Device company.",https://clinicaltrials.gov/study/NCT04326946
Osimertinib and Bevacizumab Versus Osimertinib Alone as Second-line Treatment in Stage IIIb-IVb NSCLC With Confirmed EGFRm and T790M (BOOSTER),"BOOSTER is a randomised, controlled, phase II trial comparing osimertinib and bevacizumab versus osimertinib alone as second-line treatment in patients with stage IIIb-IVb non-small cell lung carcinoma (NSCLC) harbouring activating EGFR (exon 19 deletion or L858R) and T790M resistance mutation.",https://clinicaltrials.gov/study/NCT03133546
"An Observational Study of Patients Receiving T-DXd for Treatment of HER2+, and HER2-low Unresectable and/or Metastatic Breast Cancer",This study will collect real-world clinical and patient reported outcomes (PRO) and diary data from eligible patients with documented Human Epidermal Growth Factor Receptor 2 (HER2+) \[globally\] or HER2-low \[North America only\] in routine clinical practice.,https://clinicaltrials.gov/study/NCT05592483
"LGX818 and MEK162 in Combination With a Third Agent (BKM120, LEE011, BGJ398 or INC280) in Advanced BRAF Melanoma","The primary purpose of this study is to assess the anti-tumor activity of LGX818/MEK162 in combination with targeted agents after progression on LGX818/MEK162 combination therapy, as well as the safety and tolerability of the novel triple combinations.",https://clinicaltrials.gov/study/NCT02159066
Atezolizumab Trial in Endometrial Cancer - AtTEnd,"Atezolizumab is an engineered humanised monoclonal immunoglobulin G1 antibody that binds selectively to PD-L1 and prevents its interaction with PD-1 and B7-1.

In May 2016 atezolizumab was approved by the FDA for patients with locally advanced or metastatic urothelial carcinoma who have disease progression during or following any platinum-containing chemotherapy, or within 12 months of receiving chemotherapy before surgery (neoadjuvant) or after surgery (adjuvant); in October 2016 it was approved by the FDA for patients with metastatic non-small cell lung cancer (NSCLC) who have disease progression during or following platinum-containing chemotherapy, and have progressed on an appropriate FDA-approved targeted therapy if their tumor has EGFR or ALK gene abnormalities. Finally, in April 2017 atezolizumab was granted accelerated approval by FDA for the first-line treatment of patients with locally advanced or metastatic urothelial carcinoma who are not eligible for cisplatin chemotherapy. Combinations of atezolizumab with chemotherapeutic agents and/or targeted therapies were studied in different solid tumors such as melanoma, NSCLC, renal cell carcinoma and colorectal carcinoma. From these studies the AE profile of atezolizumab combinations were consistent with that of the individual agents.

Finally, preliminary results of a Phase Ia study of Atezolizumab (NCT01375842) monotherapy in relapsed endometrial cancer were reported as abstract at ASCO 2017. Fifteen patients were evaluated for safety and efficacy with a minimum follow-up of 11.2 months. No G4-5 related AEs occurred. Regarding efficacy ORR was 13% \[2/15\] by RECIST. Atezolizumab seemed to have a favorable safety profile, with durable clinical benefit in some patients. Further studies with atezolizumab are warranted given its promising results in advanced endometrial cancer and the limited efficacy of current treatment options.",https://clinicaltrials.gov/study/NCT03603184
"Bevacizumab, Pemetrexed Disodium, and Cisplatin or Erlotinib Hydrochloride and Bevacizumab in Treating Patients With Stage IV Non-Small Cell Lung Cancer. A Multicenter Phase II Trial Including Biopsy at Progression (BIO-PRO Trial).","RATIONALE: Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Drugs used in chemotherapy, such as pemetrexed disodium and cisplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Erlotinib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether bevacizumab given together with pemetrexed disodium and cisplatin is more effective than erlotinib hydrochloride given together with bevacizumab in treating patients with non-small cell lung cancer.

PURPOSE: This phase II trial is studying giving bevacizumab together with pemetrexed disodium and cisplatin to see how well it works compared with giving erlotinib hydrochloride together with bevacizumab in treating patients with stage IV non-small cell lung cancer.",https://clinicaltrials.gov/study/NCT01116219
A Study to Evaluate Lumasiran in Children and Adults With Primary Hyperoxaluria Type 1,The purpose of this study is to evaluate the efficacy and safety of lumasiran in children and adults with primary hyperoxaluria type 1 (PH1).,https://clinicaltrials.gov/study/NCT03681184
A Physiological Study on Downregulation of EGF-receptors in the Skin by Topical Exposition With EGF,Investigation of EGF-Receptor Downregulation by topical EGF (dermal cream) exposition.,https://clinicaltrials.gov/study/NCT01566578
EuroNetrod HTN OFF-Med Study of Renal Denervation With NetrodTM Six-electrode Radiofrequency RDN System,"This randomized controlled investigation aims to evaluate the efficacy and safety of the Netrod™ RDN system in patients with uncontrolled primary hypertension in the absence of antihypertensive medication, comparing the outcomes between renal denervation, sham procedure, and open-label control groups.",https://clinicaltrials.gov/study/NCT06722651
Study to Investigate the Efficacy of Panitumumab in Platinum-resistant Advanced Head and Neck Squamous Cancer,"Phase II, multicenter, open labelled, uncontrolled study to evaluate the efficacy and safety profile of panitumumab in patients affected by Head and Neck cancer after at least one cisplatin or carboplatin-based chemotherapy. A translational research study is also planned to evaluate Estimated Glomerular Filtration Rate (EGFR) status by FISH, KRAS, B-RAF, HRAS, NRAS and PIK3CA mutation by DNA sequencing, PTEN protein expression by immunohistochemistry, and Human Papilloma Virus (HPV) genotyping by reverse hybridization.

Panitumumab is administered iv on days 1 and 15 of a 28 days cycle, until progressive disease, unacceptable toxicity, pregnancy, or patient's refusal",https://clinicaltrials.gov/study/NCT02643056
Personalized DC Vaccines in Non Small Cell Lung Cancer,"Phase Ib clinical trial using autologous dendritric cell (DC) vaccine loaded with personalized peptides (PEP) given in combination with low-dose cyclophosphamide, as standard of care (SOC) therapy in patients with advanced or recurrent metastatic NSCLC.",https://clinicaltrials.gov/study/NCT05195619
AZD9291 Versus Gefitinib or Erlotinib in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer,To assess the efficacy and safety of AZD9291 versus a standard of care epidermal growth factor receptor tyrosine kinase inhibitor in patients with locally advanced or Metastatic Non Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02296125
Immunotherapy or Targeted Therapy With or Without Stereotactic Radiosurgery for Patients With Brain Metastases From Melanoma or Non-small Cell Lung Cancer,The primary objective of the study is to assess the efficacy in terms of CNS-specific PFS of the combination of standard systemic treatment plus SRS vs. standard systemic treatment alone in patients with newly diagnosed and untreated (except for surgery) asymptomatic or oligosymptomatic brain metastases from melanoma or NSCLC. This proposed randomised phase III clinical study addresses one of the most controversial issues in the current approach to patients with brain mets: the timing of SRS in patients eligible for systemic immune checkpoint inhibition or targeted therapy in order to guide therapeutic options as to what strategy allows the best compromise between best survival and best QoL.,https://clinicaltrials.gov/study/NCT05522660
"Matuzumab Treatment With Epirubicin, Cisplatin and Capecitabine (ECX) in Esophago-Gastric Cancer","The purpose of this study is to compare the effectiveness and safety of experimental treatment matuzumab and ECX chemotherapy, with ECX chemotherapy. Participants invited to take part have metastatic cancer of the esophagus (gullet) or stomach.",https://clinicaltrials.gov/study/NCT00215644
CetuGEX™: Phase 1 Study in Cancer Patients,"This was a prospective, open label, multicenter study evaluating the safety, tolerability and pharmacokinetics of CetuGEX™ after intravenous administration in patients with EGFR positive, locally advanced and/or metastatic solid cancers. The effect of CetuGEX™ on the development of anti-drug antibodies and on tumour response was also evaluated.",https://clinicaltrials.gov/study/NCT01222637
